Number,Year,Genre,Source,Sentence,Syntax,Contrast,Position,Other,Local,Licensor.category,Licensor,Note,Note2,Syntax2,Contrast2
100,1995,ACAD,CompIntlDev ,"are areas of **27;346;TOOLONG involvement. No single department or agency has predominant , much less full, control over the program. Responsibilities are dispersed among multiple agencies at different",Adj,Adj,in NP,NA,1,Neg,NA,NA,NA,Adj,Adj
110,1994,ACAD,CrossCurrents ,"and the Old, the number of priests is critically insufficient for present , much less future, needs of the church. The pastoral care of the present church in",Adj,Adj,in NP,NA,1,Adj,insufficient,NA,NA,Adj,Adj
2,2011,FIC,Bk:TudorSecret ,"be conversant on the humanist philosophies of Erasmus or essays of Thomas More , much less fluent in French and Latin. If he knew how much his tutor payments had",AdjP,AdjP,final,NA,1,NEC,NA,NA,NA,Adj,Adj
17,2009,NEWS,USAToday ,"the world through others eyes, I will never be a good citizen , much less able to love my neighbor as myself. Until we understand each other, we",AdjP,NP,final,NA,1,Neg,never,NA,NA,Adj,NP
22,2008,MAG,AmSpect ,"and ratified in the 18th century, the attempted refutation hardly seems germane , much less fatal to the point being made. The fact is that today there is not",AdjP,AdjP,final,NA,1,Adj,hardly,NA,NA,Adj,Adj
24,2008,ACAD,GeorgiaHisQ ,"century. To McGillivray, however, such an outcome was not foreseeable , much less inevitable. Like many of his contemporaries he distrusted Americans, and he also doubted",Adj,Adj,final,NA,1,Neg,NA,NA,NA,Adj,Adj
25,2007,FIC,Analog ,"at that particular time; he wasn't even doing anything strictly immoral , much less illegal. White letters appeared, right across the hostess's bustline. PLEASE PROCEED",Adj,Adj,final,NA,1,Neg,NA,NA,NA,Adj,Adj
26,2007,MAG,Atlantic ,"claimed, seemed sensible enough. Nothing suggested that radical change was possible , much less likely, and the narrow margins in Congress meant that any controversial measure would require",Adj,Adj,final,NA,1,Neg,nothing,NA,NA,Adj,Adj
50,2002,NEWS,WashPost ,"broadband business, lawyers said. # "" Ken Rice did nothing improper , much less illegal, "" said his lawyer, William D. Dolan. # Lay, the",Adj,Adj,final,NA,1,Neg,nothing,NA,NA,Adj,Adj
56,2001,NEWS,WashPost ,"pondering just how much further a young squad unaccustomed to being merely average , much less exceptional, can go. # After all, dry cleaners aren't the only",Adj,Adj,in S,NA,1,NEC,NA,NA,NA,Adj,Adj
68,1999,ACAD,ForeignAffairs ,"; unsurprisingly, books by recent administration officials have not all been discreet , much less supportive. # Years ago, loyalty to the chief was both taught and enforced",Adj,Adj,final,NA,1,Neg,NA,NA,NA,Adj,Adj
75,1998,ACAD,Church&State ,"150 years, Adventism has become far less separated from the broader society , much less different from it, and antagonism between the two has decreased markedly. # Adventist",AdjP,AdjP,final,NA,1,NEC,NA,NA,NA,Adj,Adj
85,1997,ACAD,AfricaToday ,"of African and non-African academics, not all external contributions were Cold War-driven , much less supportive of African subjugation by outsiders. However tendentious some of its language, much",AdjP,AdjP,final,NA,1,Neg,NA,NA,NA,Adj,Adj
93,1996,ACAD,PerspPolSci ,""" truth, "" there is little sense that it is something available , much less desirable. Mill has traveled far from Locke's faith that "" Truth certainly would",Adj,Adj,final,NA,1,Adj,little,NA,NA,Adj,Adj
101,1995,SPOK,Ind_Limbaugh ,"mean, they don't look old enough to be 24 years old , much less married -- I -- that's a compliment, n -- not a -- not",Adj,Adj,final,NA,1,Neg,NA,NA,NA,Adj,Adj
109,1994,ACAD,AmerScholar ,"might find in ourselves) that such a breakdown was at all likely , much less inevitable. # Robert's diagnosis has changed frequently in the past thirty years,",Adj,Adj,final,NA,1,NEC,NA,NA,NA,Adj,Adj
115,1993,FIC,Bk:CutQuick ,"and curiosity. He himself had never stolen anything larger than a pocketbook , much less alive. Leaving his horse at the Blue Lion, Julian set out on foot",Adj,Adj,final,NA,1,Neg,never,"Seems hard to compare larger than a pocketbook with alive, though grammatical.",NA,Adj,Adj
118,1993,ACAD,PSAJournal ,"film holders, cassettes or cameras with IR film in them get warm , much less hot. Load and unload Kodak IR film in total darkness and that includes 35mm",Adj,Adj,final,NA,1,NEC,NA,NA,NA,Adj,Adj
132,1991,ACAD,AcademicQs ,"must first know something, before he can find the deeper questions intelligible , much less exciting. # So we are back to the fact that those of us who",Adj,Adj,final,NA,1,NEC,NA,NA,NA,Adj,Adj
209,2005,SPOK,Ind_Oprah ,"Ms-BRODERICK: I don't even remember ever pulling that trigger even once, much less several times. That's the first thing I asked the lawyer. WINFREY:",NP,Adj,final,NA,1,Neg,NA,NA,NA,NP,Adj
2,2012,FIC,Bk:SecondGraveOnLeft ,"she said, her arms flailing. "" I couldn't investigate publicly , much less privately. My friend is asking for my help, and I can't even",AdvP,AdvP,final,NA,1,Neg,NA,NA,NA,Adv,Adv
4,2011,FIC,Bk:TraceFever ,"you don't belong here. You don't belong in this building , much less anywhere near Coburn. Be smart and take your pert little ass out the door",AdvP,PP,final,NA,1,Neg,NA,NA,NA,Adv,PP
17,2009,MAG,GoodHousekeeping ,"were living retroactively, unable to get enough traction to get caught up , much less ahead. # The question of affording school tuition for the next year became moot",AdvP,AdvP,final,NA,1,Adj,unable,NA,NA,Adv,Adv
18,2009,MAG,TownCountry ,"but only slightly. However, it's hard to keep Americans down , much less out. I am noticing, for instance, a strong urge in some circles",AdvP,AdvP,final,NA,1,Adj,hard,Neat example!,NA,Adv,Adv
20,2009,ACAD,IntlAffairs ,"the lack of an overarching document to guide these strategies in each region , much less worldwide, so far is yielding a less than satisfactory product. They are mostly",AdvP,AdvP,in S,subj,1,NEC,NA,NA,NA,Adv,Adv
22,2008,FIC,Bk:DeadBroke ,"up... talking. Something I never expected to see again in life , much less tonight. // "" Do you know this man? "" Dr. Bowen pointed at",AdvP,PP,final,NA,1,Neg,never,NA,NA,Adv,PP
26,2008,NEWS,SanFranChron ,"middle of the street talking on their cell phone without looking at me , much less both ways, I still stop. State Sen. Alan Lowenthal, D-Long Beach,",NP,PP,final,NA,1,Prep,without,NA,NA,NP,PP
27,2007,SPOK,NPR_ATC ,"United States attorneys are not entitled to keep their office for one day , much less indefinitely. So that's the fact about it. But I think it's",AdvP,PP,final,NA,1,Neg,NA,NA,NA,Adv,PP
28,2007,FIC,ArkansasRev ,"system. She did not believe anyone had to be down for long , much less forever. She did not believe in a god of any kind, but knew",AdvP,PP,final,NA,1,Neg,NA,NA,NA,Adv,PP
32,2006,ACAD,Archaeology ,"presence in the New World before the end of the last Ice Age , much less here in South Carolina, is heresy that flies in the face of a half",AdvP,PP,in S,subj,0,NEC,NA,NA,NA,Adv,PP
33,2005,FIC,Bk:LastDays ,"were worried about you. It's a miracle that you're alive , much less here. "" It was a miracle. The last time they'd been together",AdvP,AdvP,final,NA,1,Positive,NA,NA,NA,Adv,Adv
35,2005,NEWS,SanFranChron ,", Carpenter said, people didn't talk about death with family members , much less publicly. # A doctor told her there was a possibility of enrolling Walter in",AdvP,PP,final,NA,1,Neg,NA,NA,NA,Adv,PP
44,2003,ACAD,SexResearch ,"a survey may not hold from researcher to participant within a cultural group , much less cross-culturally, thus reducing the answers of participants to the meanings held by the designers",AdvP,PP,final,NA,1,Neg,NA,NA,NA,Adv,PP
48,2001,FIC,LitCavalcade ,"why you must not even be here, so close to the road , much less over there! he said with disgust. Why in heaven would that stupid chicken",AdvP,AdvP,final,NA,1,Neg,NA,NA,NA,Adv,Adv
65,1997,SPOK,ABC_Special ,"to him, you felt you were the only person on the planet , much less just in the room. And he was very interested. And I have to",PP,PP,final,NA,1,Part,only,NA,NA,PP,PP
69,1997,ACAD,PhysicalEduc ,"people in the field possess the competency to analyze human movement even kinematically , much less kinetically? Secondly, if the large majority of our practitioners can't analyze movement",AdvP,AdvP,final,NA,1,NEC,NA,NA,NA,Adv,Adv
74,1996,NEWS,NYTimes ,"# To be named top dog at America's greatest canine spectacle once , much less twice, takes generations of breeding, a lifetime of meticulous grooming and training and",AdvP,AdvP,final,NA,1,Prag,Adversity,NA,NA,Adv,Adv
77,1996,ACAD,ForeignAffairs ,"information. This does not mean that the United States can act unilaterally , much less coercively, to achieve its international goals. The beauty of information as a power",AdvP,AdvP,in VP,NA,1,Neg,NA,NA,NA,Adv,Adv
82,1995,ACAD,ArmedForces ,"(they could not be forced) these changes to express themselves politically , much less democratically. The hoplite phalanx could not guarantee the development of democracy; but neither",AdvP,AdvP,final,NA,1,NEC,NA,NA,NA,Adv,Adv
89,1994,NEWS,Chicago ,"yolks were, there was no way these eggs could be considered well-cooked , much less perfectly cooked. # In the first place, there was definite "" banding """,AdvP,AdvP,final,NA,1,Neg,NA,NA,NA,Adv,Adv
94,1993,NEWS,Houston ,"a physical misfit who probably should never have been in the armed forces , much less anywhere near the fighting. "" # So perhaps it should have come as no",AdvP,PP,final,NA,1,Neg,never,NA,NA,Adv,PP
14,2009,FIC,Bk:TightLie ,"remember the last time I had to do that twice in one tournament , much less twice on one hole. # # How're the girls? # # Kenny",AdvP,PP,final,NA,1,NEC,NA,NA,NA,Adv,PP
14,2012,NEWS,CSMonitor ,"US government had just once confirmed that a stealth drone program even existed, much less that one was flying deep into Iranian airspace to spy on nuclear facilities. #",SC,SC,final,NA,1,NEC,NA,NA,NA,SC,SC
303,2002,SPOK,CBS_Sixty ,"oncologists would say nothing Rosemarie (ph) has warrants removing one breast, much less both. And yet shes not that unusual. A full one-third of DCIS patients",NP,Adj,final,ellipsis,1,Neg,nothing,NA,NA,NP,Adj
68,1997,ACAD,SocialStudies ,"of topics can leave professors perplexed about finding enough time to cover some , much less all, of them. Massialas and Allen (1996) label some of these",Det,Det,in NP,NA,1,NEC,NA,NA,NA,Det,Det
340,2001,FIC,Bk:LastPrecinct ,"I don't know why she would go to a hotel at all, much less an elegant, expensive one. Tears sting my eyes and I force them back",NP,Adj,final,"one, sprout",1,Neg,NA,at all in matrix,NA,NP,Adj
7,2012,FIC,Analog ,"again, I argued to myself, I'm not a social worker, much less a miracle worker. But how much help does a kitten really need? # ",NP,Adj,final,NA,1,Neg,NA,NA,NA,NP,Adj
8,2012,MAG,MotherJones ,"is on the ground, which, in the course of a 10.5-hour shift- much less the mandatory 12-hour shifts eve iy one is slated to start working next week- is",NP,NP,in S,NA,1,NEC,NA,NA,NA,NP,NP
11,2012,NEWS,Atlanta ,"long enough to claim a scholarship and then never attend a public school, much less a failing one. # In his talk, Casas revealed that his deeper goal",NP,Adj,final,one,1,Neg,never,NA,NA,NP,Adj
13,2012,NEWS,SanFranChron ,"Bonanza studied ballet for 15 years, and never played a team sport, much less a contact sport. She found a home with the Bay Area Derby Girls,",NP,Adj,final,NA,1,Neg,never,NA,NA,NP,Adj
35,2011,FIC,Bk:ChicksKickButt ,"perspective. By the time you get to your first few hundred years, much less few thousand, I suspect, the "" been there, done that "" feeling",NP,Adj,final,ellipsis,1,Prag,Adversity,NA,NA,NP,Adj
38,2011,FIC,MassachRev ,"right now, for this day alone or for that. Any future, much less a secure one, seems hardly possible. I don't know, maybe the",NP,Adj,in S,one,1,Adj,hardly,not c-command,NA,NP,Adj
57,2010,FIC,Bk:FishingHole ,"a face. "" You may hope. If there's a population, much less a breeding population, the paperwork on my end wiU be enormous. "" She",NP,Adj,final,sprout,1,Positive,NA,NA,NA,NP,Adj
80,2010,NEWS,WashPost ,"of the American League Championship Series shouldn't happen to a bad guy, much less a perfectly nice one. He pitched exactly the find of game he needed to",NP,Adj,final,one,1,Neg,NA,NA,NA,NP,Adj
94,2009,NEWS,CSMonitor ,"clear that journalists do not want to be in the contemporary labor market, much less the highly competitive information market. They prefer to justify the value they create in",NP,Adj,final,NA,1,Neg,NA,NA,NA,NP,Adj
121,2009,FIC,FantasySciFi ,"thinking I've ever borne the slightest ill will toward the medical body, much less a woman's body. My prejudice extends only to the physician or female likely",NP,Adj,final,NA,1,NEC,NA,NA,NA,NP,Adj
163,2007,FIC,Mov:DeepSky ,". The men are surprised. They obviously weren't expecting a woman, much less a gorgeous one. VAL (to Gifford) "" Lester? "" Lester nails",NP,Adj,final,"one, sprout",1,Neg,NA,NA,NA,NP,Adj
174,2007,NEWS,Houston ,"it's difficult enough for an experienced driver to know what to do, much less a new driver. # Thus, in my opinion, it's safer for",NP,Adj,final,subj,0,Adj,difficult,NA,NA,NP,Adj
183,2006,FIC,BkJuv:RedHatSocietys ,"of the sofa. "" I'm not sure I own a hat, much less a red one. "" Jane smiled, again blinding me. "" Then you",NP,Adj,final,"one, sprout",1,Neg,NA,NA,Great example,NP,Adj
274,2003,MAG,NaturalHist ,"most cetacean biologists have not accepted the validity of a sec ond species, much less a third one (the species described so vaguely by the second group of Soviet",NP,Adj,final,NA,1,Neg,NA,NA,NA,NP,Adj
305,2002,SPOK,CNN_CapGang ,"they -- I mean, Saddam Hussein didn't even make any effort, much less a good-faith effort, to put anything on the table. And I think that",NP,Adj,in NP,subset,1,Neg,NA,NA,NA,NP,Adj
312,2002,MAG,Shape ,"to be kidding. "" I hadn't been on a street bike, much less a mountain bike, since junior high. And somehow, since junior high,",NP,Adj,in VP,NA,1,Neg,NA,NA,NA,NP,Adj
313,2002,MAG,Atlantic ,"had been, I never would have wanted to read the second volume, much less the third. Johnson is shown to have incredible energy, uncanny political acumen,",NP,Adj,final,ellipsis,1,Neg,never,NA,NA,NP,Adj
355,2001,NEWS,SanFranChron ,"no one knew the "" gay cancer "" was caused by a virus, much less a retrovirus. Abrams' work in Varmus' retrovirus lab, and his previous",NP,Adj,final,compound,1,Neg,no one,NA,NA,NP,Adj
361,2001,ACAD,EnergyJournal ,"get -- less than $1/barrel -- would not even cover their production costs, much less their capacity-expansion costs, or the opportunity costs of being unable to sell that oil",NP,Adj,final,conj,1,Neg,NA,NA,NA,NP,Adj
372,2000,FIC,Bk:NewSong ,"to do it? And why would he do it in a suit, much less a white suit? And why would he do it at night? "" Joe",NP,Adj,final,sprout,1,Ques,NA,NA,NA,NP,Adj
397,1999,NEWS,SanFranChron ,"banks in communities so small that they barely have a city to serve, much less an inner city. # These three changes will add accountability, integrity and relevance",NP,Adj,final,sprout,1,Adj,barely,NA,NA,NP,Adj
421,1999,MAG,Backpacker ,"requiring any breaking in or giving me so much as a warm spot, much less a hot spot. Besides wearing my Cathedral Passes in Hells Canyon, I hiked",NP,Adj,final,repetition,1,NEC,NA,NA,NA,NP,Adj
429,1999,MAG,USNWR ,"the hardest-core partisans, most voters are not focused on the presidential race, much less the congressional races, "" says Republican pollster Edward Goeas, who, with Democrat",NP,Adj,final,repetition,1,Neg,NA,NA,NA,NP,Adj
442,1998,MAG,ConsumResrch ,"was about 750 square feet -- smaller than the average single-section manufactured home, much less the multi-section manufactured home (which averaged 1,600 square feet in 1996). # ",NP,Adj,final,repetition,1,Adj,smaller,NA,NA,NP,Adj
462,1997,SPOK,NBC_Today ,"got to Q school I couldn't even pick up my book bag, much less my golf bag. So I didn't do -- do so well. I",NP,Adj,final,repetition,1,Neg,NA,NA,NA,NP,Adj
497,1996,ACAD,Monist ,"takes pains to point out, the species is not itself a body (much less the same body) carried from one location to another. Rather what is preserved",NP,Adj,in S,sprout,1,Neg,NA,NA,NA,NP,Adj
500,1996,ACAD,LatAmPopScult ,". Quite the opposite, motherhood here is not necessarily a pleasurable experience, much less a desirable one. One wonders, however, whether in the case of Tina",NP,Adj,final,one,1,Neg,NA,NA,NA,NP,Adj
507,1996,FIC,FantasySciFi ,"is worth more than the launch and any ten of the cyborg officers, much less a human one -- but # I also had to be free of the Albatross",NP,Adj,final,one,1,??,NA,NA,NA,NP,Adj
515,1996,NEWS,Houston ,""" I didn't think he was going to be a conference champion, much less a world champion, "" says Hart, who admits he initially recruited Johnson to",NP,Adj,final,NA,1,Neg,NA,NA,NA,NP,Adj
518,1996,NEWS,Denver ,"an inspiration. This isn't a degree that guarantees you any income, much less a big one. But people come here because they want to do this work",NP,Adj,final,"one, subset",1,Neg,NA,NA,NA,NP,Adj
521,1995,SPOK,CNN_TalkBack ,"I have learned that there is no right way to grieve over children, much less a normal way. Mr. Smith's grief is his business.' Is it",NP,Adj,final,NA,0,Neg,NA,NA,NA,NP,Adj
530,1995,MAG,USAToday ,"about half were able to earn a bachelor's degree within six years, much less the traditional four. One educator admits candidly that this "" is a condemnation of",NP,Adj,final,ellipsis,1,NEC,NA,NA,NA,NP,Adj
540,1995,NEWS,Atlanta ,"unlikely that one year's success will persuade farmers that any unfamiliar crop, much less a genetically engineered one, is the wave of the future. # But Harris",NP,Adj,in S,"one, subj",1,Adj,unlikely,NA,NA,NP,Adj
545,1995,NEWS,Atlanta ,"long time before the rest of the world sees pinball as a sport, much less an Olympic sport. # Struggling to hold its own # Once banned in Atlanta",NP,Adj,final,sprout,1,Prep,before,NA,NA,NP,Adj
565,1994,MAG,AmSpect ,"down about two points. He didn't qualify for a 30-year mortgage, much less a 25. "" Hugh McColl and the Ludwig Connection # While there is no",NP,Adj,final,ellipsis,1,Neg,NA,NA,NA,NP,Adj
574,1994,NEWS,NYTimes ,by putting them into broad categories. What you need are not policies -- much less a single policy. What you need are sound principles: principles that accord with,NP,Adj,final,NA,1,Neg,NA,almost sprouting! Singular/plural contrast,NA,NP,Adj
586,1993,MAG,Ms ,". The woman in that wheelchair can do none of these fundamental things, much less the more exotic ones. On a more basic human level I can spontaneously get",NP,Adj,final,one,1,Neg,none,NA,NA,NP,Adj
602,1993,SPOK,PBS_Newshour ,"doesn't care much to obey the decisions of this president. MR-LEHRER: Much less a new one. All right, gentlemen, thank you. MR-MacNeil: Still",NP,Adj,final,one,1,Neg,NA,Fragment,NA,NP,Adj
609,1992,SPOK,CNN_King ,"that he could not legally prevent his minor daughter from having an abortion, much less his older daughter, he was trying to be a compassionate loving father and simply",NP,Adj,final,NA,0,Neg,NA,NA,NA,NP,Adj
615,1992,FIC,Bk:DistinguishedGentle ,""" I don't know how anyone makes it through their first quilt, much less a second or more, "" Jennifer exclaimed. She's never been good at",NP,Adj,final,"conj, ellipsis",1,Neg,NA,NA,NA,NP,Adj
623,1992,MAG,HarpersMag ,". He made it clear that he never understood the old world order, much less the new. On his return to Andrews Air Force Base, the President made",NP,Adj,final,ellipsis,1,Neg,never,NA,NA,NP,Adj
632,1992,NEWS,USAToday ,of the Delta wonder if anything can bring them into the 20th century - much less the 21st - economically. # The odds can seem insurmountable. But Crow this,NP,Adj,in VP,ellipsis,1,Ques,embedded,NA,NA,NP,Adj
652,1992,ACAD,InterAmStud ,"Levitsky questioned whether it was realistic for Congress to expect an economic program, much less a counter-narcotics program, to succeed in Peru if Congress withholds USS 10 million in",NP,Adj,in S,subj,1,Ques,embedded,NA,NA,NP,Adj
671,1991,FIC,Bk:SumAllFears ,"Saudis and their Arab brethren were still learning how to be a nation, much less a rich and influential one, but the process was an exciting one for them",NP,Adj,final,one,1,Prag,Adversity,NA,NA,NP,Adj
673,1991,FIC,Bk:VitalSigns ,""" Marissa said. She'd never seen a live two-celled embryo before, much less her own. "" I think we'd better get the little devil back into",NP,Adj,final,ellipsis,1,Neg,never,NA,NA,NP,Adj
674,1991,MAG,Money ,"mistake, it's probably not wise to give him a second chance, much less a third, as the Byrds did. # "" We were naive -- we",NP,Adj,final,ellipsis,1,Neg,NA,NA,NA,NP,Adj
697,1991,ACAD,PublicInterest ,". Leasing had, of course, never before been considered a suspicious -- much less an illegal -- method of doing business. All shoe machinery manufacturers leased their equipment",Adj/DP,Adj,in NP,NA,1,Neg,never,NA,NA,Adj,Adj
703,1990,SPOK,ABC_Primetime ,"telling Primetime through her agent "" she will not argue with a fool, much less a money-hungry one. "" But, she said, "" she does not and",NP,Adj,final,"one, sprout",1,Neg,NA,NA,NA,NP,Adj
722,1990,NEWS,USAToday ,"headed in one direction. That's a tremendous credit for any coach, much less a rookie coach. # "" But we have to get this one, and",NP,Adj,final,subset,1,Prag,Adversity,NA,NA,NP,Adj
725,1990,NEWS,USAToday ,"of circumstances, there's a limit to the capacity of any country, much less a small country, to absorb so many immigrants, "" says David Harris of",NP,Adj,in S,subset,1,Noun,limit,NA,NA,NP,Adj
203,2006,SPOK,CNN_Grace ,"My concern is that, very often, victims do not come forward, much less child victims, much less boy victims that are now growing into manhood. Response",NP,Adj,final,"subj, sprouting",1,Neg,NA,NA,NA,NP,Adj
13,2009,FIC,FantasySciFi ,"had never much believed in the existence of sentient life on other planets , much less intelligent life, less than less in aliens with brains capable of producing magnificently engineered",NP,Adj,final,NA,1,Neg,never,NA,NA,NP,Adj
18,2009,ACAD,SouthwestRev ,"devoted an entire issue to the works of foreigners, much less women , much less Arab women, I answer that in the next issue we will resume publishing the",NP,Adj,final,NA,1,NEC,NA,NA,NA,NP,Adj
35,2005,FIC,Analog ,"around a single star, and may not form any Jupiters at all , much less hot Jupiters. Could significantly younger habitable planets than the Earth form in such a",NP,Adj,final,subset,1,Neg,NA,at all in matrix,NA,NP,Adj
45,2003,NEWS,WashPost ,"The Mars teams have learned the hard way that getting even robotic emissaries , much less human ones, safely to the planet remains a perilous and unforgiving task. # ",NP,Adj,in S,one,1,Adj,perilous,not c-command,NA,NP,Adj
47,2003,ACAD,RoeperReview ,"in Western philosophy have not directly reflected on and analyzed children in general , much less gifted children, should not deter the contemporary student of giftedness from investigating what philosophy",NP,Adj,in S,"subj, subset",1,Neg,NA,in general in matrix,NA,NP,Adj
77,1998,ACAD,MusicEduc ,"teachers are developing curricula that often do not address any of the intelligences , much less musical intelligence, with substance. Some teachers are starting to balk when confronted with",NP,Adj,in VP,subset,1,Neg,NA,any in matrix,NA,NP,Adj
103,1994,SPOK,PBS_Newshour ,"They're not a very solid basis for making any sort of policies , much less expensive and extremely interventionist ones. MR-MAC-NEIL: Let's go to Mr. Hooper.",NP,Adj,final,subset,1,Neg,NA,any in matrix,NA,NP,Adj
116,1993,ACAD,AmerStudies ,"n24) # Of course, links do not necessarily make for conspiracies , much less effective ones. The vast majority of Fulbright awards have had nothing to do with",NP,Adj,final,one,1,Neg,NA,NA,NA,NP,Adj
130,1991,NEWS,WashPost ,"Scott Poulson-Bryant ventures to Paisley Park but basically forgets to ask any questions , much less hard ones. # On the other hand, Polygram's not even entertaining questions",NP,Adj,final,"one, subset",1,Verb,forget,any in matrix,NA,NP,Adj
136,1990,MAG,Omni ,"declares that "" no known meteorological phenomenon will produce rings on the ground , much less double rings, without touching the vegetation in the middle of the rings. """,NP,Adj,in VP,sprouting,0,Neg,NA,NA,NA,NP,Adj
59,2010,FIC,Bk:OneMind ,"I wasn't trying to angle you toward any specific assignment, Lucinda, much less this one. I was telling people the truth, and maybe a bit more",NP,Det,final,one,1,Neg,NA,NA,NA,NP,Det
243,2004,FIC,Mov:Cellular ,"You have to help me. Ryan bristles at being saddled with anything, much less this. # RYAN # No, actually (I don't. Not with",NP,Det,final,pronoun,1,Verb,bristles,NA,NA,NP,Det
735,1990,ACAD,Style ,"black box "" effect, one can never fully know one's own (much less another's) mind because consciousness forms only a part of human thought. This",NP,Det,in NP,NA,1,Neg,never,NA,NA,NP,Det
389,2000,ACAD,LatAmPopScult ,"the popular artist still can not produce an interpretation of the nation -- and much less the interpretation -- without reflecting on, and situating himself critically in relation to,",NP,Det,in VP,NA,0,Neg,NA,NA,NA,NP,Det
607,1993,MAG,TIME ,"back by the U.S. Coast Guard that day had even heard of Clinton, much less his decision to continue Bush' s policy of returning boat people by force,",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
2,2012,FIC,Bk:DeaderHomesGardens ,"Brahma. I don't think we should assume Pandora was a virgin, much less a virgin goddess. She and Ethan met at an ashram in Oregon. """,NP,N,final,subset,1,Neg,NA,virgin compared to virgin goddess.,NA,NP,N
6,2012,FIC,Bk:GirlNextDoor ,"was her youngest. You never expect to bury any of your children, much less your baby. # Seated to the left of Mrs. Marino was another woman,",NP,N,final,NA,1,Neg,never,NA,NA,NP,N
19,2011,SPOK,PBS_NewsHour ,"a government, much less a - - I mean, a railroad, much less a government. He did nt -- Im paraphrasing again. I will probably mess",NP,NP,final,NA,1,NEC,NA,NA,NA,NP,NP
23,2011,SPOK,ABC_ThisWeek ,". It won't even put a dent in our current budget deficit, much less our debt. GRAPHICS CHRISTIANE-AMANPOU# (Off-camera) Congress, obviously, is not very popular with",NP,N,final,NA,1,Neg,NA,NA,NA,NP,N
25,2011,FIC,Bk:RoxannaSlade ,"days. Muddie couldn't have driven a goat cart in a crisis, much less a car. And since nobody then paid a scrap of attention to a driver",NP,NP,final,NA,0,Neg,NA,NA,NA,NP,NP
34,2011,FIC,Bk:ChasingMoon ,"Wilds, "" said Greg. "" We are unworthy of your presence, much less your gifts. "" # "" Yes. Don't suppose we could speed this",NP,N,final,NA,1,Adj,unworthy,NA,NA,NP,N
45,2011,NEWS,Houston ,"deal with McNair couldn't have mustered the capital to fund a football, much less a football team. # Alexander's hankering for an NBA franchise matched the desire",NP,N,final,NA,1,Neg,NA,interesting in terms of  PA placement,NA,NP,N
